代码,名称,最新价,买入,卖出,昨收,今开,最高,最低,成交量,成交额,涨跌幅,涨跌额,现价,半年线,半年线乖离率,价格达标,价格数据日期,市盈率,市净率,市盈率10年分位,市净率10年分位,估值分位达标,估值数据日期,总市值_估值源,价格错误,估值错误,价格估值错误,数据状态,总市值,股息率,股息率达标,股息数据日期,股息错误,所属行业,行业错误,振幅,换手率,市盈率-动态,量比,流通市值,市净率_x,60日涨跌幅,年初至今涨跌幅,市盈率TTM,市净率_y
001391,国货航,4.16,4.15,4.16,4.1,4.12,4.24,4.1,28480405.0,118735441.0,1.463,0.06,4.16,5.401000000000001,-22.97722643954824,True,2026-07-02,20.492219570405727,1.9360381861575175,1.1204481792717087,1.680672268907563,True,2026-07-02,50788945896.24821,,,,沿用上一版：当前数据待补齐,50788945896.24821,3.653846153846153,True,2026-07-02,,跨境物流,,,,,,,,,,,
001395,亚联机械,23.77,23.77,23.78,23.53,23.56,24.19,23.53,785150.0,18768098.0,1.02,0.24,23.77,39.01458333333333,-39.07406418540076,True,2026-07-02,15.274220144496388,2.323459413514662,3.8011695906432745,3.8011695906432745,True,2026-07-02,2695803239.9999995,,,,沿用上一版：当前数据待补齐,2695803239.9999995,4.206983592763988,True,2026-06-16,,其他专用设备,,,,,,,,,,,
002004,华邦健康,4.15,4.14,4.15,4.03,4.03,4.16,4.02,24029324.0,98687146.0,2.978,0.12,4.15,5.026416666666666,-17.43621201319693,True,2026-07-02,12.017493796526054,0.8341191066997519,1.8784530386740328,6.237816764132553,True,2026-07-02,8216664642.92804,,,,沿用上一版：当前数据待补齐,8216664642.92804,10.843373493975902,True,2026-06-16,,化学制剂,,,,,,,,,,,
002007,华兰生物,12.74,12.73,12.74,12.6,12.6,12.84,12.54,14924189.0,189867100.0,1.111,0.14,12.74,14.580583333333331,-12.623523292963812,True,2026-07-02,27.118,2.1536666666666666,22.915650901999022,1.316431009263774,True,2026-07-02,23259303162.044445,,,,沿用上一版：当前数据待补齐,23259303162.044445,7.849293563579278,True,2026-06-15,,疫苗,,,,,,,,,,,
002010,传化智联,4.65,4.64,4.65,4.58,4.57,4.68,4.52,23843337.0,110461173.0,1.528,0.07,4.65,5.851833333333333,-20.5377232206431,True,2026-07-02,19.50360262008734,0.7208515283842795,45.33527696793003,8.892128279883382,True,2026-07-02,12852743722.565504,,,,沿用上一版：当前数据待补齐,12852743722.565504,3.225806451612903,True,2026-06-30,,公路货运,,,,,,,,,,,
002027,分众传媒,4.91,4.9,4.91,4.85,4.85,4.96,4.83,215242009.0,1052420333.0,1.237,0.06,4.91,6.39275,-23.19424347894099,True,2026-07-02,19.69061855670104,5.578164948453608,39.66019417475728,29.80582524271845,True,2026-07-02,70911200654.55876,,,,沿用上一版：当前数据待补齐,70911200654.55876,7.739307535641547,True,2025-11-25,,广告媒体,,,,,,,,,,,
002034,旺能环境,15.31,15.31,15.33,15.25,15.29,16.02,15.09,9876765.0,154081406.0,0.393,0.06,15.31,17.910000000000004,-14.517029592406494,True,2026-07-02,10.962963934426227,0.9336590163934426,22.002960039467197,5.032067094227923,True,2026-07-02,7910695418.180984,,,,沿用上一版：当前数据待补齐,7910695418.180984,3.271352710646636,True,2025-10-21,,固废治理,,,,,,,,,,,
002035,华帝股份,4.62,4.62,4.63,4.59,4.57,4.68,4.53,8971868.0,41520436.0,0.654,0.03,4.62,5.852833333333334,-21.063872198650238,True,2026-07-02,13.235947712418302,1.036732026143791,35.585804569761784,0.3403014098201264,True,2026-07-02,3916159715.5424833,,,,沿用上一版：当前数据待补齐,3916159715.5424833,4.329004329004329,True,2026-06-18,,厨房电器,,,,,,,,,,,
002043,兔 宝 宝,11.12,11.11,11.12,11.22,11.26,11.37,11.0,8984600.0,100188147.0,-0.891,-0.1,11.12,14.3755,-22.64616882891029,True,2026-07-02,12.319215686274507,2.8939750445632795,20.36044812469557,27.56941061860692,True,2026-07-02,9226869817.996435,,,,沿用上一版：当前数据待补齐,9226869817.996435,5.323741007194244,True,2026-06-01,,其他建材,,,,,,,,,,,
002060,广东建工,3.07,3.06,3.07,3.07,3.07,3.11,3.04,15684400.0,48158010.0,0.0,0.0,3.07,3.594583333333333,-14.593717398864037,True,2026-07-02,10.7,0.83,15.714982918496828,0.7320644216691069,True,2026-07-02,11525987253.0,,,,沿用上一版：当前数据待补齐,11525987253.0,4.5602605863192185,True,2026-05-22,,基建市政工程,,,,,,,,,,,
