代码,名称,所属行业,现价,半年线,半年线乖离率,股息率,市盈率,市盈率10年分位,市净率,市净率10年分位,总市值,估值数据日期,股息数据日期,价格数据日期
002582,好想你,零食,9.31,10.755166666666666,-13.43695278238365,6.444683136412459,2.154994298745725,5.640535372848948,0.8598745724059295,29.75206611570248,4168160465.1356883,2026-07-17,2026-06-01,2026-07-17
002588,史丹利,复合肥,8.31,10.014583333333333,-17.021011025587672,3.790613718411553,8.805968331303287,0.5819592628516004,1.2652253349573692,40.300678952473326,9572222354.002436,2026-07-17,2026-06-11,2026-07-17
002608,江苏国信,火电,7.07,8.0565,-12.24477130267485,3.253182461103253,7.903536931818183,0.9906759906759907,0.7431534090909092,1.619234543670265,26711023507.119305,2026-07-17,2026-07-14,2026-07-17
002612,朗姿股份,非运动服装,11.92,15.772833333333335,-24.427021143950046,10.06711409395973,5.543944153577659,1.026167265264238,1.8722513089005228,33.365523901496864,5273948870.520071,2026-07-17,2026-05-26,2026-07-17
002616,长青集团,其他能源发电,4.7,5.462666666666666,-13.961435196485228,8.51063829787234,13.528097345132736,2.5109170305676853,1.1542035398230093,2.290448343079922,4038316929.2256684,2026-07-17,2026-05-08,2026-07-17
002624,完美世界,游戏Ⅲ,10.55,16.6415,-36.60427245140161,3.1279620853080567,38.52093949044588,65.36614645858343,3.1162818471337586,31.253023705853895,20466666661.99841,2026-07-17,2026-06-04,2026-07-17
002661,克明食品,预加工食品,7.38,8.571166666666667,-13.897369086277633,4.0650406504065035,60.81037656903766,93.32264957264957,1.101338912133892,5.084745762711865,2458556535.815899,2026-07-17,2026-06-04,2026-07-17
002690,美亚光电,其它专用机械,14.47,16.892916666666668,-14.342796537010095,4.837595024187975,17.571433542101598,1.9333011116481391,5.296604036186499,12.421459642339293,12765852182.999998,2026-07-17,2026-05-14,2026-07-17
002705,新宝股份,厨房小家电,11.28,13.703333333333335,-17.68426173680371,3.9893617021276597,11.018609625668446,12.069801260300533,1.0857754010695186,0.6786233640329618,9157958798.802135,2026-07-17,2026-06-18,2026-07-17
002734,利民股份,农药,14.24,17.743666666666666,-19.746012661794808,3.160112359550562,13.449337110481592,20.810126582278482,1.7426855524079343,47.71622934888241,6775956246.082724,2026-07-17,2026-05-22,2026-07-17
002749,国光股份,农药,8.4,11.620916666666664,-27.71654559666118,10.714285714285714,15.908148148148141,2.2243713733075436,2.634074074074076,3.0947775628626695,4674361003.40741,2026-07-17,2026-05-22,2026-07-17
002758,浙农股份,复合肥,7.9,9.341916666666666,-15.434912535792966,4.177215189873417,7.573717146433043,0.5311443746982134,0.7909887359198998,0.5311443746982134,4098539742.090113,2026-07-17,2026-07-10,2026-07-17
002772,众兴菌业,食用菌,10.19,15.379833333333332,-33.74440555272598,4.416094210009814,8.497337228714528,0.20607934054611027,1.0802420701168611,47.404172731683644,3818626410.9807997,2026-07-17,2026-05-19,2026-07-17
002773,康弘药业,其他生物制品,22.04,25.2905,-12.85265218164925,3.176043557168784,18.968361990950225,25.47592385218365,2.263837104072399,23.853211009174313,20306032841.761078,2026-07-17,2026-06-09,2026-07-17
002788,鹭燕医药,医药流通,11.07,13.76175,-19.559649027194936,3.161698283649503,15.500084745762711,82.31029482841953,1.271694915254238,44.949250845819236,4300880267.18644,2026-07-17,2026-07-10,2026-07-17
002811,郑中设计,装修装饰,9.99,13.409833333333333,-25.502429808971026,3.503503503503503,18.63352173913043,2.215384615384615,2.1630521739130444,69.00726392251816,3076620350.384348,2026-07-17,2026-05-28,2026-07-17
002823,凯中精密,电机,12.71,15.922916666666667,-20.17794059924114,3.363359559402045,17.618689655172414,0.15965939329430548,2.05989655172414,5.053974484789009,4173569342.228276,2026-07-17,2026-05-18,2026-07-17
002852,道道全,粮油加工,7.61,9.327083333333333,-18.409649318740218,3.889618922470434,18.06203830369358,30.344827586206897,1.1763748290013674,3.090294543698696,2617598801.518469,2026-07-17,2026-04-21,2026-07-17
002879,长缆科技,线缆部件及其他,12.62,18.540083333333335,-31.931266040695615,3.961965134706815,18.37267964071856,4.980657640232108,1.4452544910179648,2.4177949709864603,2437018416.4221554,2026-07-17,2026-04-21,2026-07-17
002887,绿茵生态,综合环境治理,9.36,11.429583333333332,-18.107250920491403,3.2051282051282057,21.221973490427096,64.45872466633712,1.1992930780559647,21.700444883835885,2864044319.9116344,2026-07-17,2026-06-04,2026-07-17
002895,川恒股份,磷肥及磷化工,30.6,36.13516666666667,-15.317949735022673,5.88235294117647,14.869999999999996,27.54954084098598,2.64,53.64910584823587,18540735319.999992,2026-07-17,2026-05-21,2026-07-17
